2024-11-25 03:27:05 INFO  AllureListener.onTestStart - Test started: ui.LoginTest#loginFailureTest
2024-11-25 03:27:11 INFO  AllureListener.afterInvocation - After method invocation: ui.LoginTest#loginFailureTest
2024-11-25 03:27:11 INFO  AllureListener.afterInvocation - Test finished successfully: loginFailureTest
2024-11-25 03:27:11 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:27:11 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:27:11 INFO  AllureListener.onTestSuccess - Test passed: ui.LoginTest#loginFailureTest
2024-11-25 03:27:11 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:27:12 INFO  AllureListener.afterInvocation - After method invocation: ui.LoginTest#closeBrowser
2024-11-25 03:27:12 INFO  AllureListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-25 03:27:12 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:27:15 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:27:15 INFO  AllureListener.onTestStart - Test started: ui.LoginTest#loginSuccessTest
2024-11-25 03:27:17 INFO  AllureListener.afterInvocation - After method invocation: ui.LoginTest#loginSuccessTest
2024-11-25 03:27:17 INFO  AllureListener.afterInvocation - Test finished successfully: loginSuccessTest
2024-11-25 03:27:17 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:27:17 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:27:17 INFO  AllureListener.onTestSuccess - Test passed: ui.LoginTest#loginSuccessTest
2024-11-25 03:27:17 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:27:18 INFO  AllureListener.afterInvocation - After method invocation: ui.LoginTest#closeBrowser
2024-11-25 03:27:18 INFO  AllureListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-25 03:27:18 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:27:21 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:27:51 INFO  AllureListener.afterInvocation - After method invocation: ui.CreatePostTest#setup
2024-11-25 03:27:51 INFO  AllureListener.afterInvocation - Test finished successfully: setup
2024-11-25 03:27:51 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:27:51 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:27:51 INFO  AllureListener.onTestStart - Test started: ui.CreatePostTest#createPostTest
2024-11-25 03:27:55 INFO  AllureListener.afterInvocation - After method invocation: ui.CreatePostTest#createPostTest
2024-11-25 03:27:55 INFO  AllureListener.afterInvocation - Test finished successfully: createPostTest
2024-11-25 03:27:55 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:27:55 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:27:55 INFO  AllureListener.onTestSuccess - Test passed: ui.CreatePostTest#createPostTest
2024-11-25 03:27:55 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:27:57 INFO  AllureListener.afterInvocation - After method invocation: ui.CreatePostTest#closeBrowser
2024-11-25 03:27:57 INFO  AllureListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-25 03:27:57 INFO  AllureListener.attachDOM - Capturing page DOM...
2024-11-25 03:27:59 INFO  AllureListener.makeScreenShot - Capturing screenshot...
2024-11-25 03:28:01 INFO  AllureListener.afterInvocation - After method invocation: ui.CreatePostTest#setup
2024-11-25 03:28:01 INFO  AllureListener.afterInvocation - Test finished successfully: setup
